cluster_id,GO_hit,gene_symbols,annotated_label
412,'de novo' NAD biosynthetic process from tryptophan,IDO2 SCRN1 ADPRHL1 TBC1D24 IDO1 ENDOD1 DENND10 SCRN3 ADPRH TBC1D20 DGLUCY AP5S1,
349,1-phosphatidylinositol-4-phosphate 5-kinase activity,FRMD5 PIP4K2B PIP4K2C GARNL3 MTMR14 SAMHD1 PITPNC1 RAP1GAP2 RGS9 PIP5K1B CDC14A PIP5K1A INPP5A EPB41L5 EPB41L4B RAP1GAP FRMD3 PIP4K2A PIP5K1C ITPK1,
308,"3',5'-cyclic-nucleotide phosphodiesterase activity",PDE7A AIPL1 PDE4C PPEF2 PDE4A PDE6C PDE5A PDE1C PDE10A PDE1A GUCY1A1 PDE9A PDE6B PDE7B GUCY1B1 PDE8B PDE6A PDE1B CCNY PDE8A PDE4B PDK2 PDE4D PDE2A,
440,"4 iron, 4 sulfur cluster binding",TYW1 ACOT11 TXNRD2 FOXRED1 LIAS ATG7 CDKAL1 PRMT7 TYW1B AS3MT,
202,5'-nucleotidase activity,NMNAT3 NT5DC3 CHKB FAM118A UCK2 PDXK PRTFDC1 TAMM41 NT5C3A PMM2 PGS1 OPA3 NT5DC4 GGPS1 CTDSP2 DCAKD NT5C3B PHOSPHO1 NADK HDHD5 PMM1 SSU72 NMNAT2 UCK1 FAM118B DHDDS CTDSP1 SRM NT5DC2 AK6 NT5C1A PSPH GMPPB CTDNEP1 CTDSPL MPPED1 NMNAT1 UCKL1 PCYT1A TIMM50,
435,7SK snRNA binding,DTX3 DEDD CCDC106 PPP1R14D LIN37 NFKBIL1 DEDD2 HEXIM2 INO80B HEXIM1,
393,ABC-type transporter activity,BTN2A1 BTNL8 SLC27A3 ABCB8 BTN3A1 MOG BTNL3 BTNL9 BTN3A2 BTN2A2 BTN3A3 ERMAP TAP1 TAP2 BTN1A1,
182,"ATP-dependent activity, acting on DNA",GMPS POLB MCM2 XRCC6 DMC1 PAICS MSH2 RRM2 POLR1E TK1 DSCC1 MCM4 FEN1 RFC3 CPSF3 DNTT CTPS1 MSH5 TRIP13 RFC4 XRCC5 MLH1 CDC6 RNASEH2A MCM6 SAE1 RAD54L RAD51C TYMS RPA2 RRM1 RAD51 MCM7 RPA1 MCM5 CDT1 PRIM1 ASF1B MCM3 RFC2 PCNA GINS2 RFC5,
198,"ATP-dependent activity, acting on DNA",MSH3 ORC2 USP1 FIGNL1 POLN EIF2AK4 REV1 HELLS RAD17 RECQL SHPRH TOPBP1 HLTF DNA2 RFC1 PMS1 BRIP1 ATAD5 SRBD1 WDHD1 BLM SMARCAD1 ERCC6 RBL1 WRN ATAD2B NCAPD3 MSH6 ZRANB3 DHX29 HELB RAD54B USP37 HELQ MSH4 HFM1 SENP6 RBL2 PMS2 ATAD2,
98,"ATP-dependent activity, acting on RNA",POLRMT DHX15 CHTF18 DIS3L TOP3A CMTR1 ABCF3 DHX37 UPF1 SUPT6H POLR2B LONP1 LIG3 USP5 DHX35 SBNO2 RTEL1 NOL6 DDX41 POLR3B SUPT5H TTLL12 NAT10 TFIP11 SKIV2L POLR1B DDX11 GTPBP1 POLD1 DDX23 DHX34 DHX40 POLG CLUH EFTUD2 DHX8 TOP3B DHX16 RAD54L2 DIS3L2 SND1 DHX33 IGHMBP2 POLR2A GTPBP2 USP39 EXOSC10 FBH1 PRPF6 ERCC2 POLR3A DHX30 DHX57 ERCC3 DHX9 DHX38,
139,ATP-dependent chromatin remodeler activity,NCOR1 CHD3 GON4L ASH1L ANKRD12 SETD2 PHF14 CHD7 CEP170 PBRM1 PCM1 ZNF638 JMJD1C MAP1B TTC3 ZFC3H1 CHD4 SBNO1 CHD9 TAF1L ARID4A KDM5A BPTF CHD2 BDP1 PRRC2C CHD8 PHIP BAZ1A APC BAZ2B INO80 CHD6 ARHGAP5 NCOR2 CHD1 NIPBL RSF1 KDM5B ARID4B CHD5 BOD1L1 MGA NSD3 TUT4 BAZ2A ARHGAP35 SMARCA2 ANKRD11,
225,ATP-dependent peptidase activity,XRN2 HBS1L EFL1 DIS3 MTIF2 OPA1 NVL VPS4B DDX42 DNM1L FARSB CLPX MTREX AFG3L2 MCM8 DNAJC11 DDX1 NSF KATNA1 ATAD1 DNAJA3 RIOK3 DHX36 SPATA5 SPG7 GFM2 GFM1 PNPT1 PEX1 KATNAL1 SPAST YTHDC2 GUF1 KATNAL2 YME1L1 LONP2 CLPB,
12,ATPase-coupled transmembrane transporter activity,ABCB6 ATP8B4 ADCY2 ABCC9 ATP10B ATP4A ADCY8 SLC8A2 ABCA9 ABCG8 ATP9B DUOX2 PTCH2 CFTR ATP2A3 ABCC5 ATP10D ABCC10 ABCC2 PTCH1 ATP7B ATP1A1 ATP11A ABCC12 ABCA5 KCNT1 SLC8A3 ATP2B2 ATP13A4 ABCA4 ATP12A ABCB11 DISP1 ATP2B4 ABCC6 ATP13A3 ABCD3 NPC1L1 ATP8B3 NPC1 ABCA12 ATP2C2 ADCY9 ADCY5 ABCC4 ATP11B ADCY7 ATP2A2 ADCY6 ATP1A3 ABCA8 ABCB9 ADCY3 ATP10A PIGG ABCG5 ABCC8 HMGCR TMEM94 ATP1A2 ATP8A2 ABCA6 ABCA3 ATP2C1 ATP8A1 ABCC3 ATP2A1 ABCA10 ABCB1 KCNT2 DISP3 ATP1A4 ABCB4 SLC9C1 ATP8B2 ATP13A2 ABCC11 ABCB5 ABCD4 KCNU1 ABCC1 DUOX1 ADCY4 ATP13A1 ABCD2 ATP8B1 ATP9A SCAP ATP2B1 ATP13A5,
351,BH domain binding,TRADD BAK1 BAX MCL1 TNFAIP8L2 BCL2A1 BID SNX20 TNFAIP8L1 BOK BCL2L2 BCL2 GLTP UBTD1 R3HDM4 TNFAIP8 BCL2L1 BCL2L10 CPTP UBTD2,
64,COPII-coated ER to Golgi transport vesicle,TMEM248 SPCS2 ERP44 GPX8 PIGK CNPY4 TXNDC12 TMED5 SELENOF TMX1 ERGIC3 NENF SPCS3 SRPRB SSR1 DNAJC1 TMED10 MESD TMED3 SEC11C LMAN2 ATRAID FKBP11 EMC10 TMED4 LAMP1 CNPY2 TMED2 GPX7 GINM1 ERLEC1 MZB1 TMED9 AGR3 GNPTG MANF SELENOT ALG5 OSTM1 CNPY3 DDOST M6PR PIGT ERP29 EMC7 SELENOM MLEC LMAN2L MYDGF TMED7 ERGIC2 TXNDC15 RPN1 TMED1 SSR2 TMED6 CDNF AGR2 LMAN1 TMEM59 TMX2 FKBP2 DNAJC25 TUSC3 RPN2,
32,CoA-ligase activity,ACSF3 GDA DPYD ADH7 ACMSD ACSL6 AACS TAT HAO1 BCAT1 ACSM2B BCAT2 BHMT SLC27A6 ACSS3 ADH1A ADH5 ETFDH BHMT2 ACSS1 LARS2 AOX1 ACSM1 KYAT1 ACSL1 ACAD11 ACOT12 AIFM3 ADH4 HGD ACSM5 ACSL5 ETNPPL ALDH8A1 SORD ALDH1A3 ALDH3A1 ADH6 DDC CPS1 CRYZ ACSM3 FGGY ARG1 XDH ACSBG1 NPL SLC27A4 ALDH1A2 DPYS SLC27A2 ACSBG2 PAH HACL1 HAO2 ADH1B UPB1 ALDH4A1 MAT1A ACSF2 ALDH1A1 AGXT AGXT2 ADH1C AADAT DMGDH ALDH1L1 ACSL3 ACSM4 PTGR1 SLC27A1 ACSM2A ACSS2 PCK1 ACSM6 KYAT3,
329,Cul2-RING ubiquitin ligase complex,ZSWIM6 AGAP6 ABTB2 HLCS AGAP5 PLCL2 DAPK1 ZSWIM4 TANC1 ZSWIM5 BRINP1 BRINP2 ALG1L2 AGAP3 BRINP3 PLCL1 BTBD11 AGAP9 AGAP4 AGAP2 KANK1,
65,Cul3-RING ubiquitin ligase complex,KLHL40 RIMKLA KLHL31 KLHL17 RIMKLB BTBD1 KBTBD7 KLHL21 KLHL9 ENC1 SPOPL KBTBD4 KLHL35 WDR47 KBTBD13 KLHL26 IPP CCIN KBTBD3 KLHL5 KLHL29 KLHL23 KLHL32 KLHL1 BTBD2 KLHL6 KLHL28 FBXW2 KLHL7 BTBD9 KLHL18 KLHDC10 BTBD6 KLHL12 LACC1 KBTBD11 KBTBD6 KLHL30 KLHL33 LANCL1 TRIM32 KBTBD12 KBTBD8 KLHL8 KLHL25 KLHL2 KLHL36 KLHL14 KLHL20 KLHL38 KLHL24 KLHL11 KLHL3 KBTBD2 KLHL41 GMCL1 SPOP KLHL42 BTBD3 KEAP1 GMCL2 BTBD19 KLHL22 IVNS1ABP KLHL10,
316,Cul3-RING ubiquitin ligase complex,KCTD20 KCTD5 KCTD4 KCTD21 TENT5B KCTD14 KCTD6 SNX27 BTBD10 KCTD13 KCTD7 KCTD11 KCTD10 KCTD17 GOLPH3L DENND11 KCNRG TENT5C TNFAIP1 KCTD1 KCTD15 KCTD12 KCTD8,
0,Cul4-RING E3 ubiquitin ligase complex,WDR31 WDR27 WRAP73 CORO2B WDR24 WDR88 DAW1 PEX7 THOC6 FBXW4 CSTF1 RACK1 SPAG16 CORO6 TLE7 ARPC1B WDR82 WDR5B GNB5 WDR5 SEC13 EFCAB8 ERCC8 CORO2A EML2 CIAO1 RBBP4 CORO1B WIPI2 AAMP THOC3 FBXW11 ARPC1A NUP37 BTRC WSB1 GNB1L FBXW5 CORO1C CDC20 WDR18 TBL3 PPP2R2C POC1A AAAS STRAP DCAF10 FBXW12 DCAF12 TAF5 WDR20 EML1 GNB1 TLE2 FBXW8 GNB2 WDR45B CFAP52 MLST8 WDR91 KATNB1 EED NLE1 SMU1 POC1B WDR1 FZR1 WDSUB1 EML4 WDR54 TLE4 NEDD1 WDR12 TBL2 DCAF7 PAAF1 ATG16L1 WDR25 CDC20B WDR38 WSB2 SNRNP40 TRAF7 WDR83 FBXW7 PPP2R2D KLHDC3 DCAF4L2 WDR41 DPH7 EML3 WDR86 BUB3 WDFY1 TLE1 WDTC1 PRPF19 WDFY2 WDR73 DCAF11 CORO7 PRPF4 WDR53 EIF3I WIPI1 WDR61 TBL1XR1 WDR59 DCAF4 PPP2R2A TLE6 FBXW9 WRAP53 SHKBP1 GNB3 CHAF1B GNB4 PLRG1 TAF5L CORO1A NUP43 DDB2 ATG16L2 EIPR1 WDR77 PAFAH1B1 WDR37 TLE3 SEH1L RAE1 DCAF4L1 UTP4,
414,D-threo-aldose 1-dehydrogenase activity,RPIA NAXE KCNAB1 ERI3 KCNAB3 MTX1 STK19 LCMT1 PTRHD1 REXO2 KCNAB2 DGUOK,
436,DNA double-strand break processing involved in repair via single-strand annealing,UBAP1L FBXO41 SARM1 LEMD2 MMACHC RNF31 ALKBH6 SLX1B FBXL19 SLX1A,
74,DNA integration,BAG5 ZBED8 TIGD3 THAP9 C17orf113 ZSWIM9 ZBED9 C7orf25 ZNF618 DNAJC28 TIGD4 GK2 KIAA1586 FAM200A CARD6 PGBD5 BEND3 ZMYM1 ZMYM6 PEG3 GTF2IRD2 VRTN ZNF862 EPM2AIP1 PP2D1 ARL14EP GK3P POGK TSTD3 JRKL ZSWIM1 PGBD2 ZBED5 THAP2 FAM200B SETMAR KIF2B PGBD4 TIGD6 ZBED6 CMTR2 CGGBP1 HARBI1 PRDM11 THAP6 NYNRIN TIGD5 THAP12 LIG4 RTL1 C14orf28 ZBED4 GIN1 JRK ZSWIM3 GTF2IRD2B RAG1 TIGD7 TIGD1 TIGD2 THNSL1,
404,DNA methylation involved in gamete generation,CEP104 RNF17 NPHP4 HMGXB3 MOV10L1 TDRKH SHCBP1L KDM1B TDRD12 TDRD1 TDRD7 DHX32 TDRD9,
380,DNA polymerase complex,IFT52 POLA2 DDX59 STYXL1 VRK3 TIRAP REXO5 FAM83A TDP1 SMG9 CWF19L1 POLE2 SMARCAL1 POLD2 EDC3 INTS9 MCMBP,
33,E-box binding,BHLHA9 NEUROG3 SERTAD4 ID2 MAFK NEUROD2 TCF21 NHLH2 MAFF BHLHA15 ID4 MYOD1 ATOH1 MAFG ASCL1 OLIG1 TCF23 ASCL5 TWIST2 PTF1A ASCL3 NEUROD4 MESP1 ID1 NRL MXD3 HES3 TMEM247 HEY1 HES4 HELT NEUROG1 CEBPG ASCL2 TCF15 MXD4 FERD3L HAND1 CEBPD FIGLA TAL1 MSGN1 BATF BATF3 HES6 MYF5 TAL2 ATOH7 JDP2 TCF24 ID3 MYF6 HES2 NEUROD6 HES5 MSANTD1 OLIG3 CREBL2 NFIL3 NEUROD1 MSC MYOG CEBPE LYL1 HEYL BHLHE40 NHLH1 TWIST1 HES1 ASCL4 HES7 BHLHE23 CREBZF NEUROG2 SCX ATOH8,
209,E-box binding,SOX6 SCHIP1 VGLL4 SSBP3 MYT1 SSBP2 CCDC85A ARNTL TCF3 RUNX1T1 MEF2C SATB2 MYT1L NFIA TCF4 LDB2 ST18 MEIS2 SSBP4 IQCJ-SCHIP1 NOL4L CNOT2 FOXN3 TCF12 NFIX MEF2A MEIS3 LDB1 NFIB MEIS1 HMBOX1 NOL4 RNF220 PKNOX2 PBX2 PBX4 SOX5 PBX1 PBX3,
157,ER to Golgi transport vesicle membrane,SEC16A SEC16B MYRF SECISBP2 TCERG1 ZFR2 ZFR SMARCA4 SEC23A SEC23B PRPF40B AKAP8L LENG8 SMARCE1 EYA1 SECISBP2L SEC24D SF3B2 EIF4G1 FIGN RFX2 SEC23IP SRRT CCAR1 ITSN2 RBM20 MYRFL SMARCC2 FNDC3A TMEM209 SEC24B EYA4 SEC24C EIF4G3 SEC24A EYA3 PRPF40A SREBF1 BRD2 ZMIZ2 BRDT EYA2 SMARCC1 AKAP8 SIN3A DROSHA,
118,G protein-coupled amine receptor activity,HTR5A GPR22 NPY5R GPR149 HRH3 ADRA1D PTGER4 ADRA1B HTR1B TAAR1 MC4R DRD5 GPR75 HTR1D GPR162 TRHR GPR61 HTR4 ADRA1A GPR45 GPR21 TAAR8 ADRA2B HTR1F GPR176 GPR85 CHRM2 HTR1A CHRM5 CHRM4 HTR7 DRD3 GPR39 ADRB2 HTR1E TAAR5 GPR161 HRH1 HTR2B GPR84 CCKAR DRD2 ADRA2A CHRM1 TAAR9 TAAR6 DRD1 HRH4 GPR52 ADRA2C CHRM3 TAAR2,
63,G protein-coupled chemoattractant receptor activity,F2R GNRHR BDKRB1 C5AR1 P2RY12 HCAR3 CCR4 F2RL2 C5AR2 GPR132 C3AR1 ACKR3 BDKRB2 GPR171 CXCR4 PTAFR GPR183 CCRL2 CXCR2 CMKLR1 CCR7 GPR19 LPAR3 PTGFR FPR2 F2RL1 OXGR1 S1PR1 GPR32 TMEM217 GPR87 GPR18 P2RY14 SUCNR1 P2RY13 LPAR6 FPR1 XCR1 CXCR1 CCR1 APLNR CCR9 GPR15 AGTR1 ACKR2 P2RY1 GPR141 CXCR5 ACKR4 HCAR2 CCR6 GPR65 FPR3 CCR2 CCR5 CX3CR1 CCR3 MRGPRF GPR55 CXCR6 CCR8 NPY1R NPY4R2 CYSLTR2 HCAR1,
76,G protein-coupled serotonin receptor activity,OR5C1 OR2D3 OR6C6 OR11H4 OR2AP1 OR10H3 OR1L3 OR2M7 OR13C3 OR13A1 OR13C5 OR13C9 OR2M5 OR8H1 OR10H4 OR2T27 OR6C68 OR10J5 OR13F1 OR6M1 OR13C8 OR6C2 OR2B3 OR6C70 OR6C1 OR2F2 OR2D2 OR13D1 OR9A2 OR2AJ1 OR2W1 OR2K2 OR5M9 OR10A7 OR2M2 OR2L13 OR10H2 OR2L8 OR13C4 OR9A4 OR10AD1 OR13C2 OR6C3 OR2G3 OR6C76 OR10R2 OR10J1 OR2S2 OR10A3 OR6S1 OR10A6 OR2B2 OR6C65 OR6B3 OR10T2 OR11H12 OR10X1 OR10A5 OR6X1 OR2AK2,
383,G-protein alpha-subunit binding,RGS13 RGS4 BANF2 RGS18 RGS1 SAMSN1 RGS20 RGS8 RGS10 CYTH4 RGS2 RGS19 RGS6 RGS17 RGS21 PLEK RGS16,
263,G-protein beta-subunit binding,BRK1 CTNNBIP1 BOLA2B BCAS4 SELENOH GNG7 GNG8 GNG5 GNG2 GNG13 GNG14 GNG4 PYDC1 GNG3 POLR2L BRD3OS GNGT1 TRAPPC5 STXBP6 HSBP1 GNG10 BOLA2 HOPX GNGT2 TCEA2 ATP5F1E GNG12 NAA38 SELENOW GNG11,
342,G-protein beta/gamma-subunit complex binding,GNAT1 GNAZ GNAT3 GNAT2 GNA14 FAR2 GNA11 GNAI1 GNAL GNA13 OTUB2 GNAS GNAI2 TNFAIP8L3 RRAGD GNA12 GNAI3 GNAO1 GNA15 GNAQ,
102,GDP binding,RIT1 RHOH ARL4C CPLANE2 RAB17 RIT2 RHOV DIRAS3 RASL10A REM1 RASD1 RASL11A RASL12 RRAGA GUK1 RASL10B RHOG REM2 ARL16 RERGL RRAD RHOJ GEM RND1 ARL15 RHOU ARL9 KIF25 RND2 RRAS DNAJC27 RND3 ARL14 ARL13B RAB20 RASL11B NKIRAS2 NMRK2 IFT27 ARL10 RHEBL1 RASD2 ARL4A DIRAS2 RHOD RERG NKIRAS1 MRAS RABL3 RHOC DIRAS1 IFT22 RHOB ARL4D ARL11,
13,GDP binding,RAB22A RAB3A ARL3 RAB42 ARL17A RAB31 NRAS RABL2B RAB4A RAP1A RAB6B RAB23 RAB15 RAB37 ARL17B RAP2A RAB10 ARL8B RAB7A RAB29 RAB6C RHEB HRAS RAB1B RAB11B RALA RAB30 ARF4 ARF5 RAB2B RAB33B RAB3C RABL2A RAB38 RAB19 RAB26 RAB4B RAB8A RAB40B RAB35 RAB18 RAB27A ARF1 CDC42 SAR1B RAB2A RAP2B RAB40C ARL8A RAN RAB13 RAB39A ARFRP1 RAC2 RAB24 RAB28 RAB25 ARL5A RAB6A RAC3 RHOA RAB1A RHOQ ARL5C RAB14 RHOF RAC1 ARF3 KRAS ARL6 SAR1A RAB5A RALB RAB11A RAB5B RAB7B RAB27B RAB32 RAB12 RRAS2 ARL2 ARL5B ARF6 ARL1 RAB5C RAB43 RAB3D RAB8B RAB6D,
190,Golgi cis cisterna,GOLGA6L2 GOLGA6D GOLGA8O GOLGA8R GOLGA8Q TMCO5A IVL GOLGA6C CCDC196 GOLGA6L1 CCDC69 GOLGA8A GOLGA6L9 GOLGA2 TXLNB GOLGA6A GOLGA8J GOLGA8K SYCE1L LRSAM1 GOLGA6B GOLGA8H GOLGA8N GOLGA8G GOLGA8B GOLGA6L10 GOLGA8F HAP1 GOLGA6L7 TNIP3 GOLGA6L6 FAM184B SYCE1 GOLGA6L22 GOLGA8S GOLGA8T TRAF3IP3 SPZ1 TEX35 GOLGA6L4 TCHH,
