hdbscan_filled_cluster,name
240,Acetyl Erasers
395,Acetyl Writers
212,Acid Annihilators
201,Acidic Cleavers
136,Actin Riders
127,Acyl Artists
389,Adhesion Architects
76,Adhesion Ensemble
292,Amino Alchemists
1,Antigen Scanners
337,Antiviral Arsenal
170,Apoptosis Initiators
180,Axon Guides
8,Barrier Builders
126,Baseline Balancers
190,Blueprint Drafters
186,Bond Sculptors
355,Breakdown Brigade
128,Bridge Builders
23,Calcium Catchers
286,Calcium Cleavers
44,Calcium Conductors
98,Calcium Dockers
131,Calcium Gateways
257,Calcium Refillers
294,Calcium Switch
137,Carbohydrate Carriers
426,Cargo Captors
254,Cargo Connectors
253,Cargo Linkers
252,Cargo Locomotives
439,Catalysis Collective
52,Cell Cement
450,Cell Cycle Drivers
427,Cell Symphony
448,Cell Utility Belt
230,Cell Velcro
296,Cellular Chemists
425,Cellular Machinists
443,Cellular Toolbox
259,Centrosome Tethers
158,Ceramide Smiths
228,Channel Brakes
10,Chemical Cleaners
417,Cholesterol Couriers
248,Chromosome Condensers
352,Chromosome Glue
255,Cilia Constructors
295,Ciliary Couriers
250,Ciliary Gatekeepers
362,Ciliary Sentinels
235,Citrulline Converters
213,CO₂ Converters
441,Coenzyme Catalysts
217,Collagen Crushers
63,Complement Custodians
182,Contact Regulators
379,Contractile Clamps
326,Contraction Switches
4,Copper Sponges
327,CoQ Crafters
102,Cortical Scaffold
216,Cysteine Cleavers
72,Cytoskeletal Core
245,Cytoskeleton Connectors
164,Cytotoxic Restraints
220,Reaper Receptors
351,Cytochrome Leak
82,Degron Hunters
188,Differentiation Drivers
30,Division Rings
388,DNA Watchdogs
71,Drug Detoxifiers
282,Electron Relays
271,Elongation Engines
167,Endocrine Gatekeepers
48,Endotoxin Latchers
356,Energy Engines
149,ER Scaffolders
348,Ester Breakers
135,Excitability Tuners
99,Excitation Drivers
155,Exocrine Elixirs
219,Extracellular Modulators
143,Fate Directors
189,Fatty Acid Activators
119,Fertilization Keys
25,Fiber Architects
19,Fiber Welders
444,Filament Terminators
275,Flagellar Framework
146,Fluidity Forgers
77,Folding Chamber
87,Force Generators
279,Frameshift Facilitators
313,Fusion Supervisors
172,Fusion Zippers
67,Genome Editors
205,Glycan Builders
162,Glycan Guild
341,Glycogen Anchors
233,Growth Factor Sensors
269,Growth Governors
209,Growth Promoters
203,Guidance Signals
117,Hormone Catchers
178,Hormone Cocktail
73,Hormone Switches
202,Hormone Tailors
36,Immune Beacons
34,Immune Display
222,Immune Igniters
394,Immune Tuners
51,Inflammation Igniters
231,Inflammation Sensors
90,Inflammation Sparks
232,Interferon Sensors
283,Intracellular Executioners
111,Ion Pump Collective
121,Ionic Balancers
15,Keratin Cement
18,Keratin Resin
69,Kinase Commanders
369,Kinetochore Core
168,Lamina Weavers
159,Lipid Assemblers
5,Lipid Carriers
152,Lipid Erasers
434,Lipid Ferries
157,Lipid Lengtheners
288,Lipid Loaders
270,Lipid Oxidizers
260,Lipid Shufflers
124,Lipid Taggers
291,Lipid Tailors
169,Lipoprotein Wranglers
456,Maintenance Crew
129,Mannose Masons
194,Master Planners
179,Matrix Anchors
123,Matrix Degraders
198,Matrix Guardians
386,Membrane Bridgers
184,Membrane Flippers
160,Membrane Masons
38,Membrane Menders
236,Mesh Makers
263,Messenger Shelters
293,Metabolic Engines
440,Metabolic Forge
446,Metabolic Miscellany
154,Methyl Detectives
97,Microbe Assassins
218,Microbe Trappers
409,Microtubule Decorators
280,Mitochondria Modulators
287,Mitochondrial Forge
39,Mitochondrial Gatekeepers
246,Mitochondrial Middlemen
163,Mitochondrial Powerhouses
423,Mitochondrial Translators
89,Mitogenic Signals
403,Mitosis Motors
81,Molecular Brakes
221,Molecular Chameleons
106,Morphogen Gateways
37,Morphogen Messengers
215,Morphogen Moderators
191,Morphogenesis Mentors
407,Motility Modulators
195,Mucin Decorators
105,Myelin Insulators
43,Neddylation Overseers
22,Neural Code Connectors
181,Neural Matchmakers
141,Neurotransmitter Recyclers
197,Notch Nexus
310,Nuclear Shuttles
453,Nucleotide Recyclers
142,Nutrient Absorbers
321,Nutrient Nexus
46,Ocular Crystals
41,Oxygen Couriers
45,Pathogen Sensors
107,Peptide Messengers
120,pH Stabilizers
315,Phosphatase Boosters
306,Phosphoinositide Pruners
298,Plaque Preventers
13,Poison Tasters
373,Polarity Architects
92,Prostaglandin Porters
206,Protease Blockers
49,Protease Guardians
55,Protease Shields
20,Protein Factory
42,Protein Grinders
302,Protein Provisioners
375,Protein Recyclers
314,Protein Rescuers
325,Protein Wreckers
429,Proteostasis Crew
415,Protrusion Pioneers
414,Quinone Artisans
376,Ras Brakes
229,Receptor Activators
366,Receptor Connectors
349,Redox Reactors
451,Regulatory Mosaic
368,Release Regulators
66,Repeat Enigmas
133,Repolarization Racers
187,Repulsion Signals
353,Respiratory Engine
374,Rho Brakes
371,Ribosome Architects
367,Ribosome Builders
210,Ribosome Foremen
347,Ribosome Scaffolders
452,Ribosome Stylists
380,RNA Finishers
431,RNA Refiners
430,RNA Refinery
422,RNA Shredders
391,RNA Silencers
110,RNase Armada
130,Second Messenger Makers
150,Secretion Guides
96,Secretory Medley
276,Secretory Regulators
284,Self-Destruct Switches
83,Shock Absorbers
199,Sialic Scribes
225,Sialic Sentinels
377,Signal Amplifiers
418,Signal Dockers
307,Signal Erasers
247,Signal Handcuffs
68,Signal Spark Plugs
387,Signaling Scaffolds
144,Silencer Scouts
381,Silencing Squad
256,Size Supervisors
118,Sleeping Killers
138,Sodium Hitchhikers
183,Sodium Sentinels
447,Spectrum Squad
139,Sphingolipid Smiths
404,Spindle Sheriffs
399,Spine Sculptors
166,Splice Conductors
449,Splice Executors
265,Splice Modulators
266,Second-Cut Splice
165,Splice Switchboard
264,Splice Switchers
322,Spliceosome Depot
262,Splicing Engines
442,Splicing Network
214,Starch Splitters
385,Stem Cell Sustainers
244,Steroid Refiners
370,Stress Amplifiers
272,Stress Assemblers
237,Stress Orchestrators
113,Sugar Converters
161,Sugar Porters
88,Sugar Snares
204,Sugar Trimmers
108,Sulfonation Squad
156,Sulfur Breakers
84,Synapse Builders
200,Synapse Modulators
268,Synaptic Clamps
11,Synaptic Gatekeepers
112,Synaptic Receivers
365,Synaptic Recyclers
223,T-cell Boosters
211,Tail Snippers
339,Telomere Guardians
132,Tension Gates
95,Tetraspan Web
104,Tight Sealers
109,Toxin Neutralizers
277,Traffic Cops
317,Trafficking Tethers
267,Transcript Dampeners
261,Transcription Assembly
239,Transcription Brakes
273,Transcription Igniters
454,Transcription Middlemen
65,Transforming Gatekeepers
192,Translation Blockers
243,Translation Gears
445,Translation Initiators
424,Translation Station
319,Transport Scouts
402,Transposon Patrol
361,TRAPP Transit Hub
93,Trimeric Triggers
91,Triple Helix Scaffold
436,tRNA Polishers
433,tRNA Tailors
79,Ubiquitin Carriers
74,Ubiquitin Erasers
390,Ubiquitin Escorts
398,Ubiquitin Matchmakers
312,Ubiquitin Scaffolders
400,Ubiquitin Scrubbers
86,Ubiquitin Tag Team
316,Vesicle Anchors
311,Vesicle Dockers
