hdbscan_filled_cluster,GO_hit,gene_symbols,annotated_label
297,1-phosphatidylinositol-3-kinase activity,ARAP1 ARAP3 ARMC2 ARMC9 C2CD5 CADPS2 CYFIP1 CYFIP2 EFR3A MACC1 NCKAP1L PDE8B PIK3C2B PIK3C2G PIK3C3 PIK3CB PIK3CG SNX13 SNX14 SNX25 STAG1 STAG3 TBC1D17,
328,"2 iron, 2 sulfur cluster binding",C1QBP C1orf53 CISD1 CISD2 COQ10A COQ2 COX10 COX11 COX15 CRLS1 CUTA FAM210A FAM210B FDX1 FXN GCSH GLRX2 GRSF1 GTPBP8 HINT2 ISCA1 ISCA2 MAIP1 MALSU1 MMADHC MRPL10 MRPS24 MRPS28 MRPS31 MRPS5 MTIF3 MTRES1 NFU1 NIPSNAP3A NIPSNAP3B PARK7 PARL PPIH PRDX1 PRDX2 PRDX6 PTGES2 PYURF SCO1 SDHAF4 SLC30A9 TACO1 TFAM TIMM21 TMEM160 TMEM223 TMEM65 TMEM69 TMEM70 TXN2,
305,"3',5'-cyclic-GMP phosphodiesterase activity",AGBL4 DENND2D DENND6A DTHD1 ELMO2 FLII HID1 PDE1A PDE1B PDE1C PDE4A PDE4B PDE4C PDE4D PDE7A PDE8A PDE9A PELP1 SCIN SCYL3 SGSM3 SIN3B SREBF1 STK11IP SUN2 TBC1D13 TBC1D15 TBC1D19 TBC1D24 VIL1 VILL YTHDC2 ZSWIM4,
114,ABC-type transporter activity,ABCA1 ABCA10 ABCA12 ABCA3 ABCA4 ABCA5 ABCA6 ABCA8 ABCA9 ABCB1 ABCB11 ABCB4 ABCB5 ABCC1 ABCC11 ABCC12 ABCC2 ABCC3 ABCC4 ABCC5 ABCC6 ABCC8 ABCC9 CFTR TMEM94,
115,ABC-type transporter activity,ABCA7 ABCC10 ABCD2 ABCD3 CASR DUOX1 DUOX2 GPRC6A KCNT2 KCNU1 TAS1R1 TAS1R2 TAS1R3,
304,AP-type membrane coat adaptor complex,AP1S1 AP1S3 AP2S1 AP3S1 AP3S2 AP4S1 CFL2 COPZ1 CSTA DCTN6 DNAL4 DPH3 DSTN EIF6 GLRX GMFB GMFG GTF2H5 LAMTOR3 LSM10 MAGOHB MSRB1 NUTF2 PFN2 PHPT1 POLR2E POLR2G RABIF SDHAF1 SEC11A SNRNP25 TRAPPC2B TXNL4A TXNL4B URM1 VPS29,
354,ARF protein signal transduction,ALPK1 ANKS1B ANKS6 APBB2 ARHGAP33 ARVCF AXIN2 CARMIL2 CARMIL3 CASS4 CC2D2B CNBD1 EFCAB5 FAM135B FAM13B FGD5 FNIP1 FNIP2 GIT1 GIT2 GRIP2 HPS4 IL16 MAP3K1 MLPH MTMR3 MTMR4 MYRIP PASK PDZD7 PSD3 PTPN21 RALGDS RGS12 RIPOR1 RIPOR2 SASH1 SH3PXD2B SNCAIP SORBS3 SPATA6 SPATS2L STIM2 SYCP2L TBC1D30 TSC1 UVRAG ZFYVE28,
438,"ATP-dependent activity, acting on RNA",AAR2 ABTB1 ARRB2 ATG4C ATP6V0D1 CHTF18 CNOT7 CWF19L1 DDX11 DDX59 DHX30 DHX32 DHX34 DHX35 DHX40 DHX57 DIS3 ERCC3 GTF2H4 GTPBP2 HCFC2 IGHMBP2 KATNAL1 KLHDC2 MCM8 MINDY3 MKS1 MTRR NAE1 NAT10 NVL PARN PARP2 POLD1 POLN POLR3C POLR3E SHBG SMARCAL1 SPHK2 TDP1 THOC5 TRAPPC13 TTPA TYW1 UFSP2 USP14 USP5 VPS4B,
334,ATP-dependent peptidase activity,AP5M1 ATG7 CARD16 CASP2 CASP9 CHAT CLPX ERO1B EXD3 FKBP5 FNTB HDLBP INPP5K INTS11 LANCL1 LANCL2 LONP2 MYO19 NDOR1 NEU3 NEU4 NHLRC2 NRDC PEX6 PGGT1B PLCXD2 PRKAB2 SIRT2 SND1 SPATA5L1 TMEM143 WDCP YME1L1,
435,ATP-dependent peptidase activity,ACTR8 AFG3L2 ASPHD2 BBS12 C2orf69 DNAJC11 ELAC2 HMOX2 IPPK KIAA0895L LONP1 MKKS NEU2 OLA1 PRKAB1 SPG7 TYSND1 UHMK1,
